,Sample_ID,Run_ID,Release_version,Sex,Body_site
94,SRS451464,SRR919574,2.0,female ,inguinal crease 
95,SRS451464,SRR919634,2.0,female ,inguinal crease 
96,SRS451465,SRR919575,2.0,female ,inguinal crease 
97,SRS451465,SRR919635,2.0,female ,inguinal crease 
128,SRS451582,SRR919853,2.0,female ,inguinal crease 
129,SRS451582,SRR919903,2.0,female ,inguinal crease 
130,SRS451583,SRR919854,2.0,female ,inguinal crease 
131,SRS451583,SRR919904,2.0,female ,inguinal crease 
286,SRS451742,SRR920144,2.0,female ,inguinal crease 
287,SRS451742,SRR920191,2.0,female ,inguinal crease 
288,SRS451743,SRR920145,2.0,female ,inguinal crease 
289,SRS451743,SRR920192,2.0,female ,inguinal crease 
344,SRS451771,SRR920220,2.0,female ,inguinal crease 
345,SRS451771,SRR920251,2.0,female ,inguinal crease 
346,SRS451772,SRR920221,2.0,female ,inguinal crease 
347,SRS451772,SRR920252,2.0,female ,inguinal crease 
444,SRS451898,SRR920609,2.0,female ,inguinal crease 
445,SRS451898,SRR920696,2.0,female ,inguinal crease 
446,SRS451899,SRR920610,2.0,female ,inguinal crease 
447,SRS451899,SRR920697,2.0,female ,inguinal crease 
